Name,Completed,Created Time,Finish,Finish Time,Job,Multi-select,Operator,Quantity,Reference Photo,Start,Start Time
9.26.25_MDF_RiftWO_01_1-2-Grooves,Yes,"September 30, 2025 10:23 AM",,Oct 6 8:22 AM (EDT),Frienship,,,1,Cut%20File%20Log/9.26.25_MDF_RiftWO_01.html,,Oct 6 8:22 AM (EDT)
9.26.25_MDF_RiftWO_02_3-4-Grooves 2,Yes,"September 30, 2025 10:23 AM",,Oct 6 8:22 AM (EDT),Frienship,,,1,Cut%20File%20Log/9.26.25_MDF_RiftWO_02.html,,Oct 6 8:22 AM (EDT)
9.26.25_RiftWOPly01_1-2-Shelf Pins,Yes,"September 30, 2025 10:24 AM",,Oct 6 8:43 AM (EDT),Frienship,,,1,Cut%20File%20Log/9.26.25_RiftWOPly01.html,,Oct 6 8:43 AM (EDT)
9.26.25_RiftWOPly02_3-5-Shelf Pins,Yes,"September 30, 2025 10:24 AM",,Oct 6 8:44 AM (EDT),Frienship,,,1,Cut%20File%20Log/9.26.25_RiftWOPly02.html,,Oct 6 8:43 AM (EDT)
9.26.25_RiftWOPly03_6-8-Shelf Pins,Yes,"September 30, 2025 10:24 AM",,Oct 6 8:44 AM (EDT),Frienship,,,1,Cut%20File%20Log/9.26.25_RiftWOPly03.html,,Oct 6 8:44 AM (EDT)
9.26.25_RiftWOPly04_9-10-Pin Pocket,Yes,"September 30, 2025 10:24 AM",,Oct 6 8:44 AM (EDT),Frienship,,,1,Cut%20File%20Log/9.26.25_RiftWOPly04.html,,Oct 6 8:44 AM (EDT)
9.22.25 BACK_1Medex04,Yes,"September 30, 2025 10:27 AM",,Sep 30 12:54 PM (EDT),Moors,,,,,,Sep 30 12:54 PM (EDT)
9.22.25 FACE_1Medex04,Yes,"September 30, 2025 10:27 AM",,Sep 30 12:54 PM (EDT),Moors,,,,Cut%20File%20Log/9.22.25_1Medex04_Top.html,,Sep 30 12:54 PM (EDT)
9.22.25 1Medex05_BACK,Yes,"September 30, 2025 10:28 AM",,Sep 30 12:54 PM (EDT),Moors,,,,,,
9.22.25 FACE_1Medex05_1-4-Pocket 2 [Clear 1],Yes,"September 30, 2025 10:28 AM",,Sep 30 3:16 PM (EDT),Moors,,,,Cut%20File%20Log/9.22.25_PANTRY_1Medex05_Top.html,,Sep 30 2:33 PM (EDT)
